,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_exp_const,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_decay
89,16,10.0,0.23917805400014913,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0]",exponential,50.0,0.005,0.001,49.940241226090116,50,4096,
90,32,13.0,0.30063279699970735,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1]",exponential,50.0,0.005,0.001,49.9248982600065,50,4096,
91,64,5.0,0.3655404190003537,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1]",exponential,50.0,0.005,0.001,49.90869835676827,50,4096,
92,128,10.0,0.4363106090004294,"[1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1]",exponential,50.0,0.005,0.001,49.89104124061935,50,4096,
93,256,12.0,0.5206536240002606,"[1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1]",exponential,50.0,0.005,0.001,49.87000587219851,50,4096,
94,512,15.0,0.632660493000003,"[0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1]",exponential,50.0,0.005,0.001,49.842084775241176,50,4096,
95,1024,21.0,0.7962622089999059,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0]",exponential,50.0,0.005,0.001,49.80133019332134,50,4096,
96,2048,23.0,1.0796312379998199,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",exponential,50.0,0.005,0.001,49.73081938366716,50,4096,
97,4096,23.0,1.7876867420000053,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0]",exponential,50.0,0.005,0.001,49.55506976652536,50,4096,
98,0,12.0,0.00016896000033739256,"[1, 1, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1]",geometric,50.0,,0.001,49.99991509483463,50,4096,0.99
